Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Alkalinity
Contra Costa PP Number 01,1/9/1997,427,31.8495819,OMR,W,59
San Joaquin River @ Mossdale Bridge - C7A,3/20/1995,301,35.26878783,SJRcorridor,W,49
Contra Costa PP Number 01,3/13/1995,322,37.53111646,OMR,W,66
Contra Costa PP Number 01,2/5/1998,879,41.15155574,OMR,W,110
Contra Costa PP Number 01,3/3/1998,1100,46.174655,OMR,W,141
Contra Costa PP Number 01,1/17/1995,709,46.35508675,OMR,W,87
Contra Costa PP Number 01,3/7/1996,898,46.46251523,OMR,W,119
Middle River @ Union Point - P10A,3/8/2017,187,46.65054443,OMR,W,38
Middle River @ Union Point - P10A,3/8/2017,187,46.65054443,SouthDelta,W,38
San Joaquin River @ Mossdale Bridge - C7A,2/13/1997,185,47.19212894,SJRcorridor,W,42
Contra Costa PP Number 01,2/8/1996,397,47.52751567,OMR,W,75
Contra Costa PP Number 01,4/3/2006,428,47.97842568,OMR,W,72
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,48.06579729,SJRcorridor,W,51
Contra Costa PP Number 01,3/7/2000,1125,48.16682697,OMR,AN,129
Contra Costa PP Number 01,2/6/1995,533,48.45038827,OMR,W,75
San Joaquin River @ Mossdale Bridge - C7A,3/14/1996,253,48.94207006,SJRcorridor,W,52
Middle River @ Union Point - P10A,4/3/2017,201,49.18404199,OMR,W,35
Middle River @ Union Point - P10A,4/3/2017,201,49.18404199,SouthDelta,W,35
Contra Costa PP Number 01,5/10/1995,307,49.34111805,OMR,W,54
P8 - San Joaquin River @ Buckley Cove,3/11/1980,210,49.39264929,SJRcorridor,AN,32
Contra Costa PP Number 01,3/2/2004,500,49.65011755,OMR,BN,94
San Joaquin River @ Mossdale Bridge - C7A,2/16/1995,487,49.77058978,SJRcorridor,W,60
P8 - San Joaquin River @ Buckley Cove,3/16/1978,349,49.81651337,SJRcorridor,AN,55
Middle River @ Union Point - P10A,5/3/2017,120,50.00669585,OMR,W,27
Middle River @ Union Point - P10A,5/3/2017,120,50.00669585,SouthDelta,W,27
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,50.10640361,SJRcorridor,W,46
Middle River @ Union Point - P10A,2/6/2017,258,50.46962633,OMR,W,46
Middle River @ Union Point - P10A,2/6/2017,258,50.46962633,SouthDelta,W,46
Contra Costa PP Number 01,4/10/1995,635,50.51772825,OMR,W,85
P8 - San Joaquin River @ Buckley Cove,4/1/1975,315,50.66749811,SJRcorridor,W,62
Contra Costa PP Number 01,3/6/2006,232,50.66954548,OMR,W,57
P8 - San Joaquin River @ Buckley Cove,2/15/1978,369,50.92561655,SJRcorridor,AN,60
P8 - San Joaquin River @ Buckley Cove,5/2/1978,204,50.92561655,SJRcorridor,AN,43
San Joaquin River @ Mossdale Bridge - C7A,5/18/1995,143,50.95156216,SJRcorridor,W,31
P8 - San Joaquin River @ Buckley Cove,2/6/1974,403,51.00464256,SJRcorridor,W,57
Contra Costa PP Number 01,5/6/2003,330,51.50084909,OMR,AN,84
Contra Costa PP Number 01,2/3/1999,352,51.6298188,OMR,W,74
Old River @ Middle River,6/9/1998,236,51.89782644,SouthDelta,W,42
Contra Costa PP Number 01,1/7/2003,1010,51.99960319,OMR,AN,113
P8 - San Joaquin River @ Buckley Cove,1/9/1974,249,52.3990248,SJRcorridor,W,62
Contra Costa PP Number 01,2/6/2006,491,52.81827396,OMR,W,68
Clifton Court Intake,4/9/1986,197,52.99907803,OMR,W,39
San Joaquin River @ Mossdale Bridge - C7A,1/26/1995,383,53.05662006,SJRcorridor,W,78
Middle River @ Union Point - P10A,1/3/2011,274,53.33698971,OMR,W,47
Middle River @ Union Point - P10A,1/3/2011,274,53.33698971,SouthDelta,W,47
San Joaquin River @ Mossdale Bridge - C7A,4/11/1996,413,53.46132043,SJRcorridor,W,62
San Joaquin River @ Mossdale Bridge - C7A,2/15/1996,290,53.64428507,SJRcorridor,W,42
P8 - San Joaquin River @ Buckley Cove,3/18/1975,335,53.72341881,SJRcorridor,W,66
Middle River @ Union Point - P10A,4/9/2018,358,54.04390508,OMR,BN,55
Middle River @ Union Point - P10A,4/9/2018,358,54.04390508,SouthDelta,BN,55
Contra Costa PP Number 01,2/3/2003,1070,54.06515388,OMR,AN,138
Contra Costa PP Number 01,6/7/2005,256,54.24209382,OMR,AN,51
Contra Costa PP Number 01,1/8/2002,616,54.28372948,OMR,D,90
Middle River @ Union Point - P10A,2/2/2010,536,54.29400396,OMR,BN,78
Middle River @ Union Point - P10A,2/2/2010,536,54.29400396,SouthDelta,BN,78
Middle River at Bacon Island Bridge,4/8/1993,465,54.30864006,OMR,AN,74
Clifton Court Intake,4/8/1993,400,54.30864006,OMR,AN,69
Old River @ Tracy Road Bridge - P12,3/9/2009,868,54.40866096,SouthDelta,D,117
Grant Line Canal @ Tracy Blvd,3/9/2009,728,54.40866096,SouthDelta,D,99
Contra Costa PP Number 01,2/5/2008,462,54.87619201,OMR,C,74
Middle River @ Union Point - P10A,2/5/2008,456,54.87619201,OMR,C,72
Middle River @ Union Point - P10A,2/5/2008,456,54.87619201,SouthDelta,C,72
P8 - San Joaquin River @ Buckley Cove,12/11/1973,600,54.96370577,SJRcorridor,W,82
P8 - San Joaquin River @ Buckley Cove,3/25/1980,239,55.01367247,SJRcorridor,AN,33
San Joaquin River @ Mossdale Bridge - C7A,4/24/1995,184,55.06228913,SJRcorridor,W,36
San Joaquin River @ Mossdale Bridge - C7A,3/13/1997,338,55.45327752,SJRcorridor,W,61
Contra Costa PP Number 01,1/6/2004,784,55.58733795,OMR,BN,77
Contra Costa PP Number 01,3/12/1997,314,55.67296976,OMR,W,56
Contra Costa PP Number 01,4/4/2005,499,55.79737907,OMR,AN,96
P8 - San Joaquin River @ Buckley Cove,4/3/1979,381,55.89304686,SJRcorridor,BN,51
P8 - San Joaquin River @ Buckley Cove,4/18/1978,240,55.92473399,SJRcorridor,AN,47
P8 - San Joaquin River @ Buckley Cove,2/7/1980,243,56.15652999,SJRcorridor,AN,32
Middle River @ Union Point - P10A,1/9/2017,338,56.18463132,OMR,W,53
Middle River @ Union Point - P10A,1/9/2017,338,56.18463132,SouthDelta,W,53
Middle River @ Union Point - P10A,3/7/2011,372,56.35666923,OMR,W,52
Middle River @ Union Point - P10A,3/7/2011,372,56.35666923,SouthDelta,W,52
Rock Slough at Delta Road Bridge,7/5/2011,169,56.36389323,OMR,W,44
Middle River @ Union Point - P10A,7/5/2011,184,56.36389323,OMR,W,37
Middle River @ Union Point - P10A,7/5/2011,184,56.36389323,SouthDelta,W,37
P8 - San Joaquin River @ Buckley Cove,4/3/1973,518,56.44372714,SJRcorridor,AN,83
Contra Costa PP Number 01,7/8/1998,233,56.61660003,OMR,W,52
OH1,5/1/2019,188,57,SouthDelta,W,40
ORX,5/1/2019,187,57,SouthDelta,W,40
GLE,5/1/2019,192,57,SouthDelta,W,41
Middle River @ Union Point - P10A,5/4/2010,400,57.05251942,OMR,BN,60
Middle River @ Union Point - P10A,5/4/2010,400,57.05251942,SouthDelta,BN,60
Contra Costa PP Number 01,5/5/1999,451,57.23000982,OMR,W,86
P8 - San Joaquin River @ Buckley Cove,4/4/1978,327,57.31670008,SJRcorridor,AN,49
Contra Costa PP Number 01,4/8/1999,324,57.34361395,OMR,W,62
Contra Costa PP Number 01,3/7/2005,654,57.47547175,OMR,AN,117
Rock Slough at Delta Road Bridge,6/6/2011,259,57.57300551,OMR,W,50
Middle River @ Union Point - P10A,6/6/2011,257,57.57300551,OMR,W,43
Middle River @ Union Point - P10A,6/6/2011,257,57.57300551,SouthDelta,W,43
P8 - San Joaquin River @ Buckley Cove,4/7/1980,279,57.57943317,SJRcorridor,AN,36
Middle River @ Union Point - P10A,5/2/2011,199,57.60965856,OMR,W,40
Middle River @ Union Point - P10A,5/2/2011,199,57.60965856,SouthDelta,W,40
San Joaquin River @ Mossdale Bridge - C7A,6/22/1995,240,57.6171137,SJRcorridor,W,43
Contra Costa PP Number 01,2/8/2000,385,57.61717763,OMR,AN,68
Contra Costa PP Number 01,6/8/1993,250,57.7015985,OMR,AN,57
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,57.81297746,SJRcorridor,BN,66
Clifton Court Intake,6/10/1993,301,57.844797,OMR,AN,58
Middle River at Bacon Island Bridge,6/10/1993,337,57.844797,OMR,AN,57
Middle River @ Union Point - P10A,6/5/2017,177,57.96351261,OMR,W,33
Middle River @ Union Point - P10A,6/5/2017,177,57.96351261,SouthDelta,W,33
P8 - San Joaquin River @ Buckley Cove,3/6/1979,242,58.17682582,SJRcorridor,BN,36
Contra Costa PP Number 01,4/4/1996,554,58.29157662,OMR,W,79
Contra Costa PP Number 01,6/14/1995,214,58.38588799,OMR,W,40
San Joaquin River @ Mossdale Bridge - C7A,7/20/1995,218,58.74876866,SJRcorridor,W,37
Middle River @ Union Point - P10A,3/5/2007,485,58.91442023,OMR,D,71
Contra Costa PP Number 01,3/5/2007,315,58.91442023,OMR,D,69
Middle River @ Union Point - P10A,3/5/2007,485,58.91442023,SouthDelta,D,71
Contra Costa PP Number 01,3/11/1993,801,59.02850507,OMR,AN,96
Clifton Court Intake,3/9/1993,730,59.04059358,OMR,AN,102
Middle River at Bacon Island Bridge,3/9/1993,471,59.04059358,OMR,AN,73
P8 - San Joaquin River @ Buckley Cove,3/20/1979,327,59.54056787,SJRcorridor,BN,40
Middle River @ Union Point - P10A,2/3/2016,488,59.65346245,OMR,BN,67
Middle River @ Union Point - P10A,2/3/2016,488,59.65346245,SouthDelta,BN,67
P8 - San Joaquin River @ Buckley Cove,12/17/1974,370,59.95905109,SJRcorridor,W,54
Old River @ Tracy Road Bridge - P12,2/26/2009,911,60.14582078,SouthDelta,D,124
Grant Line Canal @ Tracy Blvd,2/26/2009,840,60.14582078,SouthDelta,D,115
P8 - San Joaquin River @ Buckley Cove,5/16/1978,224,60.36200235,SJRcorridor,AN,43
P8 - San Joaquin River @ Buckley Cove,4/22/1980,237,60.4529479,SJRcorridor,AN,35
Contra Costa PP Number 01,3/3/2003,591,60.574921,OMR,AN,104
