Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Cl
Old River near Rock Slough,6/19/1959,327,91.43818578,OMR,BN,44
Old River near Rock Slough,6/19/1959,318,91.43818578,OMR,BN,34
Old River near Rock Slough,7/7/1959,749,94.29889644,OMR,BN,160
Old River near Rock Slough,7/7/1959,716,94.29889644,OMR,BN,152
Old River near Rock Slough,7/21/1959,1740,95.92495125,OMR,BN,451
Old River near Rock Slough,7/21/1959,1320,95.92495125,OMR,BN,329
Old River near Rock Slough,8/4/1959,1580,91.1135463,OMR,BN,389
Old River near Rock Slough,8/4/1959,1380,91.1135463,OMR,BN,336
Old River near Rock Slough,8/18/1959,1000,93.54824528,OMR,BN,225
Old River near Rock Slough,8/18/1959,937,93.54824528,OMR,BN,125
Old River near Rock Slough,9/2/1959,644,91.96611223,OMR,BN,132
Old River near Rock Slough,9/2/1959,621,91.96611223,OMR,BN,126
Old River near Rock Slough,9/15/1959,509,84.58759953,OMR,BN,92
Old River near Rock Slough,9/15/1959,486,84.58759953,OMR,BN,87
Old River near Rock Slough,10/1/1959,396,78.11676896,OMR,D,54
Old River near Rock Slough,10/1/1959,352,78.11676896,OMR,D,44
Old River near Rock Slough,10/30/1959,345,83.58656463,OMR,D,39
Old River near Rock Slough,10/30/1959,281,83.58656463,OMR,D,29
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,60.82383763,SJRcorridor,BN,112
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,57.81297746,SJRcorridor,BN,51
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,83.16574214,SJRcorridor,W,118
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,48.06579729,SJRcorridor,W,10
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,50.10640361,SJRcorridor,W,20
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,68.77308425,SJRcorridor,W,45
Old River South of Rock Slough (St 5A),5/4/1972,188,82.90410837,OMR,BN,18
Old River South of Rock Slough (St 5A),5/11/1972,228,81.24048084,OMR,BN,29
Old River South of Rock Slough (St 5A),5/15/1972,233,83.98953334,OMR,BN,31
Old River South of Rock Slough (St 5A),5/25/1972,316,82.92814611,OMR,BN,51
Old River South of Rock Slough (St 5A),6/1/1972,343,84.59350819,OMR,BN,56
Old River South of Rock Slough (St 5A),6/13/1972,506,87.18414193,OMR,BN,94
Old River South of Rock Slough (St 5A),6/21/1972,574,86.3335458,OMR,BN,115
Old River South of Rock Slough (St 5A),6/22/1972,676,87.68398736,OMR,BN,142
Old River South of Rock Slough (St 5A),6/24/1972,970,93.34177705,OMR,BN,224
Old River South of Rock Slough (St 5A),6/24/1972,818,93.34177705,OMR,BN,180
Old River South of Rock Slough (St 5A),6/24/1972,627,93.34177705,OMR,BN,130
Old River South of Rock Slough (St 5A),6/24/1972,625,93.34177705,OMR,BN,131
Old River South of Rock Slough (St 5A),6/25/1972,970,93.79838621,OMR,BN,223
Old River South of Rock Slough (St 5A),6/26/1972,700,93.98192603,OMR,BN,150
Old River South of Rock Slough (St 5A),6/27/1972,786,94.28595728,OMR,BN,154
Old River South of Rock Slough (St 5A),6/28/1972,1400,93.50734356,OMR,BN,346
Old River South of Rock Slough (St 5A),6/28/1972,919,93.50734356,OMR,BN,208
Old River South of Rock Slough (St 5A),6/28/1972,904,93.50734356,OMR,BN,205
Old River South of Rock Slough (St 5A),6/29/1972,1480,93.04418194,OMR,BN,371
Old River South of Rock Slough (St 5A),6/29/1972,1010,93.04418194,OMR,BN,234
