Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Br
Rock Slough @ Old River,1/24/1990,962,79.66720736,OMR,C,0.69
Clifton Court Intake,2/21/1990,472,80.12996718,OMR,C,0.26
Rock Slough @ Old River,2/23/1990,598,83.08252588,OMR,C,0.37
Clifton Court Intake,3/20/1990,404,85.09103604,OMR,C,0.22
Rock Slough @ Old River,3/20/1990,548,85.09103604,OMR,C,0.34
Rock Slough @ Old River,4/25/1990,864,87.22990049,OMR,C,0.66
Clifton Court Intake,5/23/1990,654,90.30188297,OMR,C,0.34
Rock Slough @ Old River,5/23/1990,660,90.30188297,OMR,C,0.42
Rock Slough @ Old River,6/26/1990,377,87.03302324,OMR,C,0.2
Clifton Court Intake,6/27/1990,786,84.4854239,OMR,C,0.24
Middle River at Bacon Island Bridge,7/9/1990,330,87.6328401,OMR,C,0.16
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1990,367,87.75334412,SouthDelta,C,0.19
Old River North of Rock Slough (St 4b),7/10/1990,408,87.75334412,OMR,C,0.25
Rock Slough @ Old River,7/10/1990,449,87.75334412,OMR,C,0.28
Middle River at Bacon Island Bridge,7/16/1990,303,85.00509504,OMR,C,0.16
Rock Slough @ Old River,7/16/1990,441,85.00509504,OMR,C,0.32
Old River North of Rock Slough (St 4b),7/16/1990,450,85.00509504,OMR,C,0.34
Grant Line/Fabian/Bell Canals nr Old R.,7/16/1990,777,85.00509504,SouthDelta,C,0.43
Clifton Court Intake,7/25/1990,457,87.85147172,OMR,C,0.31
Little Connection Sl. @ Empire Tr.,7/26/1990,160,86.56430395,SJRcorridor,C,0.03
Middle River at Bacon Island Bridge,7/26/1990,286,86.56430395,OMR,C,0.14
Grant Line/Fabian/Bell Canals nr Old R.,7/26/1990,396,86.56430395,SouthDelta,C,0.3
Old River North of Rock Slough (St 4b),7/26/1990,524,86.56430395,OMR,C,0.44
Rock Slough @ Old River,7/26/1990,572,86.56430395,OMR,C,0.48
Grant Ln Can @ Tracy Rd Bdg,7/26/1990,843,86.56430395,SouthDelta,C,0.38
San Joaquin River @ Mossdale Bridge - C7A,7/26/1990,853,86.56430395,SJRcorridor,C,0.43
Old River nr Tracy,7/26/1990,916,86.56430395,SouthDelta,C,0.43
