Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Ca
Contra Costa PP Number 01,1/9/1997,427,31.8495819,OMR,W,18
San Joaquin River @ Mossdale Bridge - C7A,3/20/1995,301,35.26878783,SJRcorridor,W,18
Contra Costa PP Number 01,3/13/1995,322,37.53111646,OMR,W,19
Contra Costa PP Number 01,2/5/1998,879,41.15155574,OMR,W,31.6
Contra Costa PP Number 01,3/3/1998,1100,46.174655,OMR,W,45.2
Contra Costa PP Number 01,1/17/1995,709,46.35508675,OMR,W,27
Contra Costa PP Number 01,3/7/1996,898,46.46251523,OMR,W,39
Middle River @ Union Point - P10A,3/8/2017,187,46.65054443,OMR,W,12
Middle River @ Union Point - P10A,3/8/2017,187,46.65054443,SouthDelta,W,12
San Joaquin River @ Mossdale Bridge - C7A,2/13/1997,185,47.19212894,SJRcorridor,W,11
Contra Costa PP Number 01,2/8/1996,397,47.52751567,OMR,W,20
Contra Costa PP Number 01,4/3/2006,428,47.97842568,OMR,W,21
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,48.06579729,SJRcorridor,W,14
Contra Costa PP Number 01,3/7/2000,1125,48.16682697,OMR,AN,41
Contra Costa PP Number 01,2/6/1995,533,48.45038827,OMR,W,26
San Joaquin River @ Mossdale Bridge - C7A,3/14/1996,253,48.94207006,SJRcorridor,W,14
Old River South of Rock Slough (St 5A),2/29/1980,227,49.08867267,OMR,AN,13
Old River South of Rock Slough (St 5A),12/14/1983,192,49.15904734,OMR,W,10
Middle River @ Union Point - P10A,4/3/2017,201,49.18404199,OMR,W,12
Middle River @ Union Point - P10A,4/3/2017,201,49.18404199,SouthDelta,W,12
Old River South of Rock Slough (St 5A),3/12/1980,212,49.22949664,OMR,AN,12
Old River South of Rock Slough (St 5A),3/15/1982,207,49.23180133,OMR,W,13
Contra Costa PP Number 01,5/10/1995,307,49.34111805,OMR,W,15
Contra Costa PP Number 01,3/2/2004,500,49.65011755,OMR,BN,22
San Joaquin River @ Mossdale Bridge - C7A,2/16/1995,487,49.77058978,SJRcorridor,W,23
Middle River @ Union Point - P10A,5/3/2017,120,50.00669585,OMR,W,8
Middle River @ Union Point - P10A,5/3/2017,120,50.00669585,SouthDelta,W,8
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,50.10640361,SJRcorridor,W,10
Middle River @ Union Point - P10A,2/6/2017,258,50.46962633,OMR,W,15
Middle River @ Union Point - P10A,2/6/2017,258,50.46962633,SouthDelta,W,15
Contra Costa PP Number 01,4/10/1995,635,50.51772825,OMR,W,27
Contra Costa PP Number 01,3/6/2006,232,50.66954548,OMR,W,14
San Joaquin River @ Mossdale Bridge - C7A,5/18/1995,143,50.95156216,SJRcorridor,W,8
Contra Costa PP Number 01,5/6/2003,330,51.50084909,OMR,AN,17
Contra Costa PP Number 01,2/3/1999,352,51.6298188,OMR,W,19
Old River South of Rock Slough (St 5A),4/18/1983,211,51.81872331,OMR,W,12
Old River @ Middle River,6/9/1998,236,51.89782644,SouthDelta,W,14
Contra Costa PP Number 01,1/7/2003,1010,51.99960319,OMR,AN,31
Old River South of Rock Slough (St 5A),12/3/1981,423,52.53667998,OMR,W,18
Old River South of Rock Slough (St 5A),1/30/1980,218,52.74067557,OMR,AN,12
Old River South of Rock Slough (St 5A),1/18/1984,230,52.80804893,OMR,W,12
