Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,SO4
Old River near Rock Slough,6/19/1959,318,91.43818578,OMR,BN,21
Old River near Rock Slough,6/19/1959,327,91.43818578,OMR,BN,20
Old River near Rock Slough,7/7/1959,716,94.29889644,OMR,BN,37
Old River near Rock Slough,7/7/1959,749,94.29889644,OMR,BN,36
Old River near Rock Slough,7/21/1959,1740,95.92495125,OMR,BN,61
Old River near Rock Slough,7/21/1959,1320,95.92495125,OMR,BN,56
Old River near Rock Slough,8/4/1959,1580,91.1135463,OMR,BN,67
Old River near Rock Slough,8/4/1959,1380,91.1135463,OMR,BN,58
Old River near Rock Slough,8/18/1959,937,93.54824528,OMR,BN,44
Old River near Rock Slough,8/18/1959,1000,93.54824528,OMR,BN,42
Old River near Rock Slough,9/2/1959,644,91.96611223,OMR,BN,28
Old River near Rock Slough,9/2/1959,621,91.96611223,OMR,BN,26
Old River near Rock Slough,9/15/1959,509,84.58759953,OMR,BN,25
Old River near Rock Slough,9/15/1959,486,84.58759953,OMR,BN,21
Old River near Rock Slough,10/1/1959,396,78.11676896,OMR,D,20
Old River near Rock Slough,10/1/1959,352,78.11676896,OMR,D,17
Old River near Rock Slough,10/30/1959,345,83.58656463,OMR,D,22
Old River near Rock Slough,10/30/1959,281,83.58656463,OMR,D,15
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,60.82383763,SJRcorridor,BN,68
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,57.81297746,SJRcorridor,BN,48
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,83.16574214,SJRcorridor,W,48
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,48.06579729,SJRcorridor,W,20
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,50.10640361,SJRcorridor,W,12
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,68.77308425,SJRcorridor,W,29
Clifton Court Intake,3/4/1986,306,0,OMR,W,41
Clifton Court Intake,4/9/1986,197,52.99907803,OMR,W,24
Clifton Court Intake,5/7/1986,280,66.57784182,OMR,W,36
Clifton Court Intake,6/4/1986,303,70.7018673,OMR,W,39
Rock Slough @ Old River,7/2/1986,225,77.07568175,OMR,W,21
Rock Slough @ Old River,9/24/1986,285,76.64482557,OMR,W,34
Old River South of Rock Slough (St 5A),6/28/1988,533,88.84197167,OMR,C,31
Old River North of Rock Slough (St 4b),6/28/1988,512,88.84197167,OMR,C,31
