Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,TDS
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,83.17,SJRcorridor,W,459
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,48.07,SJRcorridor,W,124
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,50.11,SJRcorridor,W,111
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,68.77,SJRcorridor,W,190
Old River South of Rock Slough (St 5A),6/24/1972,970,93.34177705,OMR,BN,652
Old River South of Rock Slough (St 5A),6/24/1972,818,93.34177705,OMR,BN,478
Old River South of Rock Slough (St 5A),6/24/1972,625,93.34177705,OMR,BN,372
Old River South of Rock Slough (St 5A),6/24/1972,627,93.34177705,OMR,BN,358
Old River South of Rock Slough (St 5A),6/25/1972,970,93.79838621,OMR,BN,446
Old River South of Rock Slough (St 5A),6/26/1972,700,93.98192603,OMR,BN,415
Old River South of Rock Slough (St 5A),6/27/1972,786,94.28595728,OMR,BN,454
Old River South of Rock Slough (St 5A),6/28/1972,1400,93.50734356,OMR,BN,784
Old River South of Rock Slough (St 5A),6/28/1972,904,93.50734356,OMR,BN,522
Old River South of Rock Slough (St 5A),6/29/1972,1480,93.04418194,OMR,BN,886
Old River South of Rock Slough (St 5A),6/29/1972,1010,93.04418194,OMR,BN,561
Old River South of Rock Slough (St 5A),6/30/1972,1570,92.10107177,OMR,BN,893
Old River South of Rock Slough (St 5A),7/6/1972,1510,86.35065233,OMR,BN,865
Old River South of Rock Slough (St 5A),7/6/1972,1340,86.35065233,OMR,BN,746
Old River South of Rock Slough (St 5A),7/11/1972,1120,86.44946351,OMR,BN,641
Old River South of Rock Slough (St 5A),7/11/1972,1120,86.44946351,OMR,BN,632
P8 - San Joaquin River @ Buckley Cove,4/3/1973,518,56.44,SJRcorridor,AN,272
P8 - San Joaquin River @ Buckley Cove,5/1/1973,732,71.51,SJRcorridor,AN,388
P8 - San Joaquin River @ Buckley Cove,6/5/1973,390,75.04,SJRcorridor,AN,193
P8 - San Joaquin River @ Buckley Cove,7/2/1973,412,83.15,SJRcorridor,AN,195
P8 - San Joaquin River @ Buckley Cove,7/31/1973,410,85.29,SJRcorridor,AN,209
P8 - San Joaquin River @ Buckley Cove,8/28/1973,415,83.35,SJRcorridor,AN,207
P8 - San Joaquin River @ Buckley Cove,9/25/1973,648,73.56,SJRcorridor,AN,328
P8 - San Joaquin River @ Buckley Cove,10/15/1973,530,74.39,SJRcorridor,W,292
P8 - San Joaquin River @ Buckley Cove,11/13/1973,647,72.91,SJRcorridor,W,320
P8 - San Joaquin River @ Buckley Cove,12/11/1973,600,54.96,SJRcorridor,W,323
P8 - San Joaquin River @ Buckley Cove,1/9/1974,249,52.4,SJRcorridor,W,148
P8 - San Joaquin River @ Buckley Cove,2/6/1974,403,51,SJRcorridor,W,209
P8 - San Joaquin River @ Buckley Cove,3/25/1974,518,51.69,SJRcorridor,W,312
P8 - San Joaquin River @ Buckley Cove,4/25/1974,395,55.61,SJRcorridor,W,236
P8 - San Joaquin River @ Buckley Cove,5/9/1974,430,63.22,SJRcorridor,W,257
P8 - San Joaquin River @ Buckley Cove,5/22/1974,328,66.01,SJRcorridor,W,180
P8 - San Joaquin River @ Buckley Cove,6/5/1974,354,66.07,SJRcorridor,W,209
P8 - San Joaquin River @ Buckley Cove,6/24/1974,332,70,SJRcorridor,W,175
P8 - San Joaquin River @ Buckley Cove,7/8/1974,280,76.89,SJRcorridor,W,155
P8 - San Joaquin River @ Buckley Cove,7/22/1974,289,75.63,SJRcorridor,W,150
P8 - San Joaquin River @ Buckley Cove,8/6/1974,229,75.77,SJRcorridor,W,151
P8 - San Joaquin River @ Buckley Cove,8/22/1974,282,71.49,SJRcorridor,W,140
P8 - San Joaquin River @ Buckley Cove,9/5/1974,504,66.74,SJRcorridor,W,283
P8 - San Joaquin River @ Buckley Cove,9/18/1974,529,61.93,SJRcorridor,W,311
P8 - San Joaquin River @ Buckley Cove,10/1/1974,388,64.59,SJRcorridor,W,236
P8 - San Joaquin River @ Buckley Cove,10/16/1974,510,65.98,SJRcorridor,W,281
P8 - San Joaquin River @ Buckley Cove,11/6/1974,313,66.51,SJRcorridor,W,187
P8 - San Joaquin River @ Buckley Cove,11/18/1974,405,65.81,SJRcorridor,W,244
P8 - San Joaquin River @ Buckley Cove,2/3/1975,508,75.04,SJRcorridor,W,298
P8 - San Joaquin River @ Buckley Cove,3/18/1975,335,53.72,SJRcorridor,W,205
